osm_id,other_tags
5985357,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Guildberry"",""tiger:name_type""=>""Ct"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20879"",""tiger:zip_right""=>""20879"""
5985590,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Grounds"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5985591,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Grounds"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5985954,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Gelderland"",""tiger:name_type""=>""Ct"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20832"",""tiger:zip_right""=>""20832"""
5986410,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Chesterwood"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20906"",""tiger:zip_right""=>""20906"""
5986590,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Pine"",""tiger:name_type""=>""Pl"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20815"",""tiger:zip_right""=>""20815"""
5987663,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Steam"",""tiger:name_type""=>""St"",""tiger:reviewed""=>""no"""
5987771,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Pearlbush"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""20879"",""tiger:zip_right""=>""20879"""
5988078,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""R B Brown"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""no"""
5988368,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Rixey"",""tiger:name_type""=>""Rd"",""tiger:reviewed""=>""no"""
5989279,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""North"",""tiger:name_type""=>""Dr"""
5989764,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""South"",""tiger:name_type""=>""Dr"",""tiger:reviewed""=>""position"""
5990590,"""access""=>""private"",""service""=>""driveway"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Montgomery, MD"",""tiger:name_base""=>""Deercrest"",""tiger:name_type""=>""Ln"",""tiger:reviewed""=>""no"""
6028148,"""access""=>""private"",""oneway""=>""yes"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:name_base""=>""Copper"",""tiger:name_type""=>""Ln"",""tiger:reviewed""=>""no"",""tiger:zip_left""=>""22030"",""tiger:zip_right""=>""22030"""
6028200,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"""
6028250,"""access""=>""private"",""tiger:cfcc""=>""A41"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""yes"""
6028253,"""access""=>""private"",""oneway""=>""no"",""service""=>""parking_aisle"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"""
6028275,"""access""=>""private"",""tiger:cfcc""=>""A74"",""tiger:county""=>""Fairfax-City, VA"",""tiger:reviewed""=>""no"""
